Designator,Footprint,Quantity,Value,LCSC Part #
BOOTSW1,SW_SPST_TL3342,1,SW_Push,C115351
BOOT_R1,0603,1,10k,C25804
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D4, D5, D6, D7, D8, D9",SOT-23,33,BAV70,C2501
ESD1,SOT-23-6,1,USBLC6-2SC6,C2827654 
F1,1206,1,500mA,C135338
"LED1, LED10, LED11, LED12, LED13, LED14, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,14,Worldsemi_WS2812C,C114587
MCU1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C915660
"MCU_C1, MCU_C2, MCU_C3, MCU_C5, MCU_C8",0603,5,100nF,C1591
"MCU_C4, MCU_C9",0603,2,4.7uF,C19666
MCU_C6,0603,1,10nF,C57112
"MCU_C7, REG_C1, REG_C2",0603,3,1uF,C15849
REG1,SOT-23-3,1,XC6206,C5446
USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C,C165948
"USB_R1, USB_R2",0603,2,5.1k,C23186
