Designator,Mid X,Mid Y,Rotation,Layer
_11,121.195,-119.0375,0.0,top
_10,286.4955,-176.3375,0.0,top
_9,356.0455,-119.0375,0.0,top
BOOTSW1,124.775,-139.0125,270.0,bottom
BOOT_R1,124.7842,-144.1525,0.0,bottom
C1,112.8208,-106.1795,0.0,bottom
C10,280.7899,-169.9081,180.0,bottom
C11,234.1312,-166.9628,90.0,bottom
C12,191.2306,-166.9628,90.0,bottom
C13,148.3808,-166.9628,90.0,bottom
C14,107.5122,-166.9628,90.0,bottom
C2,154.3509,-105.3667,0.0,bottom
C3,197.2261,-105.3921,0.0,bottom
C4,240.1013,-105.3921,0.0,bottom
C5,282.9511,-105.3667,0.0,bottom
C6,325.8263,-105.3667,0.0,bottom
C7,362.9103,-105.3667,0.0,bottom
C8,357.0164,-167.7756,90.0,bottom
C9,319.8054,-166.9882,90.0,bottom
D1,135.0966,-101.71875,90.0,bottom
D10,198.96875,-120.76875,90.0,bottom
D11,237.06875,-120.76875,90.0,bottom
D12,275.16875,-120.76875,90.0,bottom
D13,313.26875,-120.76875,90.0,bottom
D14,351.36875,-120.76875,90.0,bottom
D15,130.39375,-139.81875,90.0,bottom
D16,165.63125,-139.81875,90.0,bottom
D17,203.73125,-139.81875,90.0,bottom
D18,241.83125,-139.81875,90.0,bottom
D19,279.93125,-139.81875,90.0,bottom
D2,151.34375,-101.71875,90.0,bottom
D20,318.03125,-139.81875,90.0,bottom
D21,356.13125,-139.81875,90.0,bottom
D22,115.625,-158.86875,90.0,bottom
D23,156.10625,-158.86875,90.0,bottom
D24,194.20625,-158.86875,90.0,bottom
D25,232.30625,-158.86875,90.0,bottom
D26,270.40625,-158.86875,90.0,bottom
D27,308.50625,-158.86875,90.0,bottom
D28,337.179,-158.8591,90.0,bottom
D29,118.00625,-177.91875,90.0,bottom
D3,189.44375,-101.71875,90.0,bottom
D30,168.0125,-177.91875,90.0,bottom
D31,244.2125,-177.91875,90.0,bottom
D32,308.9875,-177.91875,90.0,bottom
D33,356.6125,-177.91875,90.0,bottom
D4,227.54375,-101.71875,90.0,bottom
D5,265.64375,-101.71875,90.0,bottom
D6,303.74375,-101.71875,90.0,bottom
D7,341.84375,-101.71875,90.0,bottom
D8,141.81875,-120.76875,90.0,bottom
D9,160.86875,-120.76875,90.0,bottom
ESD1,115.2479,-100.8455,270.0,bottom
F1,102.9656,-96.4513,0.0,bottom
LED1,110.9125,-109.8625,0.0,bottom
LED10,282.3625,-166.23125,180.0,bottom
LED11,238.5,-166.23125,180.0,bottom
LED12,195.6375,-166.23125,180.0,bottom
LED13,152.775,-166.23125,180.0,bottom
LED14,111.9125,-166.23125,180.0,bottom
LED2,152.775,-109.08125,0.0,bottom
LED3,195.6375,-109.08125,0.0,bottom
LED4,238.5,-109.08125,0.0,bottom
LED5,281.3625,-109.08125,0.0,bottom
LED6,324.225,-109.08125,0.0,bottom
LED7,361.325,-109.08125,0.0,bottom
LED8,361.39375,-167.0125,180.0,bottom
LED9,324.225,-166.23125,180.0,bottom
MCU1,121.210988,-127.805976,225.0,bottom
MCU_C1,126.2574,-122.6133,135.0,bottom
MCU_C2,125.089,-121.4449,315.0,bottom
MCU_C3,120.898,-136.2277,90.0,bottom
MCU_C4,119.295596,-136.2277,90.0,bottom
MCU_C5,117.088,-122.3847,180.0,bottom
MCU_C6,128.5688,-124.9247,315.0,bottom
MCU_C7,127.4512,-123.8071,315.0,bottom
MCU_C8,114.3702,-127.7949,270.0,bottom
MCU_C9,112.77,-127.7949,270.0,bottom
REG1,103.4877,-109.8371,270.0,bottom
REG_C1,100.9082,-109.5069,270.0,bottom
REG_C2,101.7842,-112.7835,0.0,bottom
SW1,105.15,-100.3375,180.0,top
SW10,276.6,-100.3375,0.0,top
SW11,295.65,-100.3375,0.0,top
SW12,314.7,-100.3375,0.0,top
SW13,333.75,-100.3375,0.0,top
SW14,362.325,-100.3375,0.0,top
SW15,109.9125,-119.3875,0.0,top
SW16,133.725,-119.3875,0.0,top
SW17,152.775,-119.3875,0.0,top
SW18,171.825,-119.3875,0.0,top
SW19,190.875,-119.3875,0.0,top
SW2,124.2,-100.3375,180.0,top
SW20,209.925,-119.3875,0.0,top
SW21,228.975,-119.3875,0.0,top
SW22,248.025,-119.3875,0.0,top
SW23,267.075,-119.3875,0.0,top
SW24,286.125,-119.3875,0.0,top
SW25,305.175,-119.3875,0.0,top
SW26,324.225,-119.3875,0.0,top
SW27,343.275,-119.3875,0.0,top
SW28,369.46875,-128.9125,0.0,top
SW29,107.53125,-138.4375,0.0,top
SW3,143.25,-100.3375,0.0,top
SW30,112.29375,-138.4375,180.0,top
SW31,138.4875,-138.4375,0.0,top
SW32,157.5375,-138.4375,0.0,top
SW33,176.5875,-138.4375,0.0,top
SW34,195.6375,-138.4375,0.0,top
SW35,214.6875,-138.4375,0.0,top
SW36,233.7375,-138.4375,0.0,top
SW37,252.7875,-138.4375,0.0,top
SW38,271.8375,-138.4375,0.0,top
SW39,290.8875,-138.4375,0.0,top
SW4,162.3,-100.3375,0.0,top
SW40,309.9375,-138.4375,0.0,top
SW41,328.9875,-138.4375,0.0,top
SW42,348.0375,-138.4375,0.0,top
SW43,107.53125,-157.4875,0.0,top
SW44,128.9625,-157.4875,0.0,top
SW45,148.0125,-157.4875,0.0,top
SW46,167.0625,-157.4875,0.0,top
SW47,186.1125,-156.815,0.0,top
SW48,205.1625,-157.4875,0.0,top
SW49,224.2125,-157.4875,0.0,top
SW5,181.35,-100.3375,0.0,top
SW50,243.2625,-157.4875,0.0,top
SW51,262.3125,-157.4875,0.0,top
SW52,281.3625,-157.4875,0.0,top
SW53,300.4125,-157.4875,0.0,top
SW54,319.4625,-157.4875,0.0,top
SW55,345.65625,-157.4875,0.0,top
SW56,355.18125,-157.4875,180.0,top
SW57,371.85,-157.4875,0.0,top
SW58,107.53125,-176.5375,0.0,top
SW59,131.34375,-176.5375,0.0,top
SW6,200.4,-100.3375,0.0,top
SW60,155.15625,-176.5375,0.0,top
SW61,193.25625,-176.5375,0.0,top
SW62,231.35625,-176.5375,180.0,top
SW63,226.59375,-176.5375,0.0,top
SW64,264.69375,-176.5375,0.0,top
SW65,298.03125,-176.5375,0.0,top
SW66,321.84375,-176.5375,0.0,top
SW67,345.65625,-176.5375,0.0,top
SW68,369.46875,-176.5375,0.0,top
SW7,219.45,-100.3375,0.0,top
SW8,238.5,-100.3375,0.0,top
SW9,257.55,-100.3375,0.0,top
USB1,114.195,-93.1875,180.0,bottom
USB_R1,107.817,-96.4259,90.0,bottom
USB_R2,120.5424,-96.4259,90.0,bottom
